"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18";"x19";"x20";"x21";"x22";"x23";"x24";"x25";"x26";"x27";"x28";"x29";"x30";"x31";"x32";"x33";"x34";"x35";"x36";"x37";"x38";"x39";"x40";"x41";"x42";"x43";"x44";"x45";"x46";"x47";"x48";"x49";"x50";"y"
4,33;-1,73;0,47;-9,52;3,21;0,74;22,71;-2,01;16,16;16,66;-12,5;-21,32;4,49;-16,76;-5,92;3,8;5,69;7,6;21,16;23,65;0,2;2,22;-11,51;-1,44;-2,89;-19,75;-2,16;-17,17;-7,17;-3,69;-7,65;12,38;-0,67;-0,99;-2,96;-0,83;8,05;-8,95;6,9;-20,95;6,59;12,31;3,61;-6,57;-10,73;8,77;-0,25;-0,66;0,5;-2,16;-0,31
9,01;-1,25;0,54;-2,87;1,54;9,06;16,62;3,2;0,62;-1,94;-14,68;-14,68;-4,36;-7,99;-3,27;-3,23;-1,42;2,14;12,18;23,01;8,28;-1,91;-15,29;-5,99;-0,24;-8,48;-0,49;-19,06;1,09;5,67;19,33;11,28;5,51;-0,56;2,24;3,89;-1,06;1,56;-11;-5,45;-0,24;-3,46;5,51;-0,29;2,11;2,26;-8,23;-1,28;-4,93;4,54;1,22
1,5;0,93;1,08;1,58;-9,84;-1,27;11,91;-2,91;-11,43;7,24;-9,97;1,71;7,57;6,78;-2,52;1,22;2,77;-0,43;5,95;18,49;2,79;3,7;-2,46;-1,42;-0,63;-10,64;-3,34;7,87;4,28;2,37;0,87;6,24;1,86;1,24;-3,15;3,01;10,07;6,54;-7,3;-11,03;0,58;8,75;-0,36;1,54;-3,68;7,67;-0,34;0,54;-2,26;2,86;3,43
12,21;2,87;4,6;-9,51;-3,72;6,89;26,02;7,49;2,62;5,1;-30,87;-25,09;-0,67;-4,88;-3,28;-0,33;-4,94;9,63;24;36,91;11,85;-1,05;-16,58;-8,01;-8,92;-11,68;0,6;-25,02;10,25;5,56;31,17;17,79;9,17;0,34;3,68;11,21;10,02;-7,59;-21,44;-9,12;1,61;-4,76;8,51;-5,88;3,2;2,28;-8,47;-3,99;-2,91;8,62;3,61
0,37;-0,47;2,66;-7,9;1,82;1,12;20,53;2,8;18,65;9,9;-15,29;-25,19;0,06;-14,94;-1,42;-3,62;2,03;3,67;19,62;16,57;-0,96;2,34;-6,29;-4,54;-3,31;-3,47;2,64;-19,46;1,16;-0,47;-0,48;-0,6;-0,78;-1,45;1,03;1,71;6,55;-11,71;-3,72;-5,48;3,39;-0,38;0,16;-0,55;-2,94;4,5;0,13;3,22;0,71;1,68;-0,44
5,01;1,18;-1,78;4,77;-2,06;1,34;6,02;4,75;-4,77;-4,69;-7,24;-0,71;1,47;0,88;-4,04;3,86;-0,2;2,54;3,27;11,02;3,82;3,47;-3,38;-3,01;-2,37;-4,51;-1,86;-3,24;0,93;5,08;10,02;12,86;10,86;-0,11;5,79;5,99;2,35;-0,9;0,26;-2,24;-2,85;-11,05;11,68;-1,34;5,97;1,31;-13,72;-6,15;-2,02;-3,46;2,61
8,75;7,17;-8,4;-5,98;0,96;-2,91;7,82;-5,33;2,58;12,78;-10,45;-8,43;-0,61;0,06;-3,55;-1,24;6,49;8,81;8,66;8,05;0,73;0,74;-3,93;-5,42;-3,6;-12,55;4,31;-14,45;-4,19;-3,46;-4,42;-0,78;-6,09;-3,09;0,34;1,81;4,94;-3,77;-0,55;-9,09;4,08;6,64;-16,33;-0,62;-6,43;9,97;16,17;4,49;0,34;0,96;-1,55
1,33;5,44;-4,34;-12,8;4,12;4,45;21,64;-0,73;14,81;-3,7;-7,5;-24,23;-0,23;-13,84;1,29;-2,74;5,62;5,4;19,21;16,44;-1,42;4,91;-4,25;-1,42;-12,42;-4,93;1,67;-19,72;-2,36;1,56;-6,55;6,14;8,3;-1,67;2,58;0,15;8,38;-8,67;4,08;-0,08;-5,45;-2,98;-1,17;7,43;5,41;6,89;5,3;-1,3;-2,58;-0,02;1,02
3,95;4,59;-4,55;8,88;-2,24;-8,18;8,13;1,33;-1,15;6,58;-7,15;-9,22;4,01;-2,94;2,91;-2,86;2,99;3,77;2,33;11,15;3,43;3,84;-3,14;3,98;9,01;-9,27;-2,47;-0,31;-4,31;-4,62;-4,79;4,63;1,45;0,97;0,29;1,69;7,91;-4,84;5,59;-14,68;-3,82;5,38;3,45;-2,83;-3,52;8,66;0,26;3;0,81;-0,11;1,45
-4,19;4,86;-2,06;6,08;4,42;0,87;-1,14;-5,87;-9,08;4,04;0,38;-6,05;4,57;-3,91;-1,18;5,56;3,84;-4,37;-11,24;4,77;0,75;3;0,72;-5,17;4,87;-4,1;3,37;6,91;1,16;3,22;6,96;-2,56;0,07;-0,16;0,87;-0,91;-4,83;-1,32;-6,66;-2,45;-2,48;1,63;3,37;4,66;-1,54;7,73;-3,45;-0,25;0,13;4,84;0,51
